Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Ross Stewart,8466,Striker,131,28,€5M,Premier League,N/A,N/A,93.0,24.73,N/A,N/A,83.0,45.0,36.36,2.75,0.0,0.0,59.0,0.69,N/A,N/A,N/A,N/A,N/A,N/A,0.0,3.44,0.0,2.06,62.0,0.69,59.0,50.0,83.0,31.0,34.48,6.87,N/A,N/A,83.0,2.06,93.0,3.44,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72.0,80.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.0,1.37,0.0,0.0,N/A,N/A,N/A,N/A,14.0,N/A,N/A,1.37,N/A,N/A,N/A,N/A,N/A,N/A,93.0,0.0,1.37,49.47,3.0,0.69,14.0,0.01,3.0,3.0,0.08,0.08,N/A,N/A
Ruben Dias,8456,Center Back,546,27,€85M,Premier League,75.0,3.63,100.0,88.19,N/A,N/A,45.0,70.0,68.75,1.81,0.0,0.0,94.0,0.49,81.0,0.49,N/A,N/A,N/A,N/A,34.0,0.16,62.0,0.16,N/A,N/A,N/A,N/A,27.0,48.0,59.38,3.13,N/A,N/A,44.0,0.82,58.0,0.49,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,73.0,1.48,81.0,61.11,95.0,94.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.0,3.13,100.0,0.0,N/A,N/A,N/A,N/A,91.0,64.0,0.16,1.32,N/A,N/A,31.0,53.0,60.0,0.49,100.0,70.0,1.32,104.67,9.0,0.49,92.0,0.08,81.0,81.0,0.08,0.08,56.0,0.0
Ryan Christie,8678,Defensive Midfielder,458,29,€15M,Premier League,45.0,1.18,40.0,34.19,N/A,N/A,61.0,28.0,38.46,0.98,0.0,0.0,75.0,0.59,83.0,1.77,N/A,N/A,N/A,N/A,76.0,0.59,49.0,0.98,73.0,1.18,59.0,54.55,34.0,22.0,44.44,4.72,N/A,N/A,83.0,2.16,53.0,1.38,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,45.0,0.79,39.0,46.15,37.0,84.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.0,1.38,96.0,8.45,100.0,0.0,N/A,N/A,N/A,N/A,53.0,46.0,0.2,0.98,N/A,N/A,11.0,23.0,42.86,0.59,39.0,70.0,2.36,57.58,20.0,0.59,34.0,0.04,51.0,51.0,0.05,0.05,82.0,0.14
Ryan Fraser,8466,Left Winger,130,30,€3.5M,Premier League,N/A,N/A,15.0,16.62,N/A,N/A,58.0,47.0,33.33,0.69,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.0,0.69,49.0,0.69,N/A,N/A,N/A,N/A,70.0,94.0,64.29,6.23,N/A,N/A,N/A,N/A,76.0,2.08,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.0,88.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97.0,2.08,33.0,3.46,100.0,0.0,N/A,N/A,N/A,N/A,7.0,51.0,0.69,0.69,N/A,N/A,80.0,18.0,40.0,1.38,2.0,N/A,N/A,31.85,100.0,0.0,0.0,0.0,4.0,4.0,0.02,0.02,31.0,0.06
Ryan Gravenberch,8650,Central Midfielder,629,22,€30M,Premier League,65.0,1.72,93.0,60.95,N/A,N/A,65.0,80.0,77.78,1.0,0.0,0.0,36.0,0.14,30.0,0.57,N/A,N/A,100.0,100.0,86.0,0.29,71.0,0.57,64.0,1.0,71.0,63.64,61.0,86.0,64.06,5.87,N/A,N/A,57.0,1.57,66.0,1.72,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,80.0,1.72,69.0,63.16,75.0,89.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,69.0,6.01,100.0,0.0,N/A,N/A,N/A,N/A,17.0,53.0,0.29,0.43,54.0,0.14,61.0,92.0,80.0,1.72,88.0,33.0,0.72,81.56,51.0,0.29,81.0,0.15,20.0,20.0,0.02,0.02,45.0,0.0
Ryan Yates,10203,Defensive Midfielder,446,26,€15M,Premier League,12.0,0.2,31.0,32.89,N/A,N/A,81.0,58.0,58.33,1.41,0.0,0.0,76.0,0.61,46.0,0.81,N/A,N/A,N/A,N/A,37.0,1.21,67.0,0.61,66.0,1.01,70.0,62.5,83.0,67.0,57.81,7.47,N/A,N/A,84.0,2.22,95.0,3.43,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,34.0,0.61,12.0,16.67,60.0,88.11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.0,0.2,42.0,4.84,100.0,0.0,N/A,N/A,N/A,N/A,80.0,87.0,0.61,1.61,N/A,N/A,22.0,28.0,44.44,0.81,36.0,80.0,3.03,56.91,35.0,0.4,41.0,0.05,70.0,70.0,0.09,0.09,61.0,0.05
Sam Johnstone,8602,Keeper,450,31,€13M,Premier League,89.0,8.4,N/A,N/A,19.0,0.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,4.0,2.6,N/A,7.0,-0.29,37.0,0.8,N/A,N/A,41.0,40.0,26.0,62.3,N/A,N/A,N/A,N/A,N/A,0.0,0.4,100.0,0.4,N/A,0.0,0.0,N/A,N/A,N/A,N/A,0.0,0.0,11.0,59.38,67.0,3.8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sam Morsy,9902,Defensive Midfielder,623,33,€950K,Premier League,71.0,2.02,65.0,43.48,N/A,N/A,33.0,53.0,57.14,0.58,0.0,0.0,64.0,0.43,34.0,0.58,N/A,N/A,93.0,66.67,78.0,0.58,54.0,0.87,59.0,0.87,87.0,85.71,53.0,63.0,56.92,5.35,N/A,N/A,76.0,2.02,39.0,1.01,84.0,N/A,N/A,0.14,N/A,N/A,N/A,N/A,24.0,0.43,63.0,60.87,63.0,88.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.0,0.14,23.0,4.04,100.0,0.0,N/A,N/A,N/A,N/A,40.0,43.0,0.14,0.72,64.0,0.29,59.0,54.0,55.0,1.59,43.0,16.0,0.14,60.1,22.0,0.58,57.0,0.08,36.0,36.0,0.03,0.03,71.0,0.08
Sammie Szmodics,9902,Attacking Midfielder,307,29,€7.3M,Premier League,81.0,1.47,2.0,11.73,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,6.0,0.29,N/A,N/A,N/A,N/A,61.0,1.17,82.0,0.29,19.0,0.59,56.0,50.0,7.0,24.0,40.0,2.93,N/A,N/A,85.0,1.76,69.0,1.76,70.0,N/A,N/A,0.29,N/A,N/A,N/A,N/A,88.0,0.88,63.0,62.5,22.0,75.47,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.0,2.35,100.0,0.0,N/A,N/A,N/A,N/A,31.0,39.0,0.59,1.47,N/A,N/A,15.0,24.0,50.0,0.29,0.0,18.0,2.35,27.56,30.0,0.29,4.0,0.02,90.0,90.0,0.44,0.44,70.0,0.3
Sander Berge,9879,Central Midfielder,173,26,€22M,Premier League,72.0,2.08,46.0,35.9,N/A,N/A,94.0,82.0,80.0,2.08,0.0,0.0,N/A,N/A,90.0,2.08,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,31.0,95.0,69.23,4.68,N/A,N/A,25.0,1.04,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,89.0,2.08,93.0,80.0,67.0,88.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.0,1.04,54.0,5.2,100.0,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,36.0,16.0,40.0,1.04,25.0,41.0,1.04,53.06,100.0,0.0,6.0,0.01,N/A,N/A,N/A,N/A,N/A,N/A
