Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Dimitrios Emmanouilidis,8231,Left Winger,637,23,€420K,Superligaen,10.0,0.14,10.0,11.59,N/A,N/A,90.0,68.0,43.33,1.84,0.0,0.0,62.0,0.71,85.0,2.4,N/A,N/A,28.0,12.5,65.0,0.71,60.0,0.57,70.0,1.41,65.0,50.0,75.0,78.0,50.0,5.37,N/A,N/A,22.0,0.71,52.0,1.13,57.0,N/A,N/A,0.28,N/A,N/A,N/A,N/A,20.0,0.14,10.0,16.67,18.0,70.69,N/A,N/A,2.0,0.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28.0,0.28,45.0,3.11,0.0,0.0,N/A,N/A,N/A,N/A,72.0,70.0,0.99,2.83,35.0,0.28,48.0,80.0,71.43,0.71,12.0,88.0,5.79,34.33,42.0,0.14,42.0,0.11,72.0,72.0,0.32,0.32,78.0,0.36
Edward Chilufya,8113,Striker,415,25,€1.5M,Superligaen,N/A,N/A,37.0,11.06,N/A,N/A,17.0,7.0,15.0,0.65,100.0,0.87,80.0,0.87,87.0,1.73,N/A,N/A,73.0,25.0,73.0,0.87,63.0,0.22,23.0,0.22,33.0,33.33,7.0,3.0,24.44,2.39,N/A,N/A,77.0,2.17,47.0,0.87,43.0,N/A,N/A,0.22,N/A,N/A,N/A,N/A,80.0,0.43,N/A,N/A,80.0,78.46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.0,0.43,7.0,1.08,100.0,0.0,N/A,N/A,N/A,N/A,30.0,13.0,0.43,1.95,70.0,0.22,57.0,53.0,66.67,0.43,13.0,57.0,5.42,26.46,100.0,0.0,100.0,0.31,33.0,37.0,0.23,0.23,40.0,0.15
Elias Achouri,8391,Left Winger,555,25,€2.6M,Superligaen,72.0,1.14,78.0,28.22,N/A,N/A,70.0,80.0,50.0,1.14,60.0,0.16,70.0,0.81,92.0,2.92,N/A,N/A,72.0,30.43,12.0,1.95,5.0,1.78,72.0,1.46,52.0,40.91,72.0,35.0,40.74,5.35,N/A,N/A,42.0,0.97,40.0,0.97,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,22.0,0.16,90.0,77.78,82.0,85.71,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,88.0,0.97,85.0,4.7,0.0,0.0,N/A,N/A,N/A,N/A,48.0,38.0,0.49,2.11,85.0,1.14,75.0,52.0,63.64,1.14,85.0,60.0,4.7,54.97,20.0,0.32,95.0,0.42,8.0,8.0,0.08,0.08,32.0,0.13
Elias Olafsson,8113,Keeper,990,24,€750K,Superligaen,31.0,4.45,N/A,N/A,6.0,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.0,0.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,75.0,1.18,N/A,38.0,-0.05,56.0,1.0,N/A,N/A,25.0,33.79,6.0,61.04,N/A,N/A,N/A,N/A,N/A,31.0,0.09,75.0,0.18,N/A,88.0,0.09,N/A,N/A,N/A,N/A,0.0,0.0,31.0,64.86,12.0,2.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Emiliano Martinez,8113,Central Midfielder,726,25,€4.5M,Superligaen,78.0,2.85,74.0,44.13,N/A,N/A,42.0,78.0,62.5,0.62,61.0,0.12,48.0,0.25,61.0,1.24,N/A,N/A,N/A,N/A,20.0,1.36,1.0,2.36,77.0,0.99,97.0,88.89,54.0,28.0,47.67,5.08,N/A,N/A,59.0,1.36,35.0,0.87,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,70.0,1.24,65.0,60.53,62.0,86.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,52.0,0.5,90.0,6.94,100.0,0.0,N/A,N/A,N/A,N/A,46.0,36.0,0.12,0.87,N/A,N/A,91.0,90.0,85.71,2.23,62.0,17.0,0.5,65.33,20.0,0.37,30.0,0.06,19.0,19.0,0.03,0.03,36.0,0.03
Emmanuel Yeboah,8231,Right Winger,203,21,€800K,Superligaen,80.0,0.89,47.0,12.41,N/A,N/A,87.0,63.0,44.83,5.76,0.0,0.0,37.0,0.44,43.0,0.89,N/A,N/A,N/A,N/A,20.0,2.22,40.0,0.44,60.0,0.89,70.0,50.0,83.0,47.0,37.25,8.42,N/A,N/A,93.0,4.43,23.0,0.44,90.0,N/A,N/A,0.89,N/A,N/A,N/A,N/A,N/A,N/A,100.0,100.0,13.0,59.57,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37.0,2.22,100.0,0.0,N/A,N/A,N/A,N/A,73.0,70.0,1.33,3.55,N/A,N/A,87.0,100.0,100.0,1.33,83.0,77.0,6.65,44.33,13.0,0.44,47.0,0.06,47.0,50.0,0.36,0.36,67.0,0.42
Eric Kahl,8071,Center Back,806,23,€1.8M,Superligaen,32.0,3.35,62.0,61.97,N/A,N/A,8.0,8.0,42.31,1.23,82.0,0.11,62.0,0.11,90.0,1.0,N/A,N/A,76.0,28.12,100.0,0.0,22.0,0.78,78.0,0.33,52.0,50.0,28.0,30.0,55.38,4.02,N/A,N/A,18.0,0.45,60.0,0.67,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,12.0,0.67,40.0,44.78,60.0,88.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48.0,3.57,100.0,0.0,N/A,N/A,N/A,N/A,16.0,N/A,N/A,0.11,96.0,1.0,60.0,24.0,50.0,0.89,66.0,6.0,0.11,85.76,48.0,0.11,88.0,0.09,16.0,16.0,0.01,0.01,N/A,N/A
Felix Beijmo,8071,Center Back,958,26,€1.8M,Superligaen,81.0,3.38,62.0,39.55,N/A,N/A,51.0,43.0,50.0,0.75,86.0,0.28,54.0,0.28,80.0,1.78,N/A,N/A,70.0,28.74,43.0,0.75,72.0,0.56,28.0,0.28,90.0,75.0,6.0,36.0,49.12,2.63,N/A,N/A,17.0,0.66,12.0,0.56,57.0,N/A,N/A,0.09,N/A,N/A,N/A,N/A,28.0,0.66,58.0,59.02,48.0,83.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.0,0.38,9.0,2.91,100.0,0.0,N/A,N/A,N/A,N/A,49.0,55.0,0.28,0.94,94.0,2.35,22.0,58.0,63.64,0.66,74.0,65.0,1.78,69.33,45.0,0.19,86.0,0.22,68.0,71.0,0.1,0.1,61.0,0.1
Filip Bundgaard,8595,Striker,471,20,€2.5M,Superligaen,18.0,0.38,70.0,23.31,N/A,N/A,N/A,N/A,N/A,N/A,62.0,0.19,90.0,1.34,40.0,1.15,N/A,N/A,25.0,11.11,78.0,0.57,15.0,1.15,75.0,1.53,78.0,53.33,32.0,55.0,43.48,3.82,N/A,N/A,60.0,1.15,22.0,0.57,65.0,N/A,N/A,0.38,N/A,N/A,N/A,N/A,55.0,0.57,42.0,50.0,90.0,86.52,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,55.0,0.57,28.0,2.68,0.0,0.0,N/A,N/A,N/A,N/A,85.0,52.0,0.76,3.06,28.0,0.19,55.0,25.0,44.44,0.76,48.0,75.0,5.16,44.14,10.0,0.38,57.0,0.14,70.0,70.0,0.32,0.32,57.0,0.3
Florian Danho,8410,Striker,417,24,€550K,Superligaen,N/A,N/A,0.0,5.18,N/A,N/A,70.0,80.0,53.57,3.24,63.0,0.22,33.0,0.43,13.0,0.43,N/A,N/A,N/A,N/A,50.0,1.29,43.0,0.43,53.0,0.86,70.0,50.0,77.0,87.0,55.74,7.34,N/A,N/A,27.0,0.86,100.0,2.59,63.0,N/A,N/A,0.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10.0,57.14,100.0,0.22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.0,1.08,30.0,2.16,0.0,0.22,N/A,N/A,N/A,N/A,70.0,67.0,1.29,3.45,N/A,N/A,33.0,23.0,25.0,0.22,20.0,47.0,4.75,27.63,37.0,0.22,3.0,0.01,43.0,47.0,0.31,0.31,70.0,0.48
