Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Eduardo Quaresma,9768,Center Back,394,22,€8.2M,Liga Portugal,0.0,0.23,92.0,77.21,N/A,N/A,5.0,5.0,33.33,0.69,0.0,0.0,N/A,N/A,59.0,0.23,N/A,N/A,N/A,N/A,2.0,0.91,N/A,N/A,89.0,0.69,68.0,60.0,53.0,44.0,57.58,4.34,N/A,N/A,12.0,0.46,65.0,0.69,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,8.0,0.23,0.0,12.5,95.0,93.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.69,76.0,4.57,100.0,0.0,N/A,N/A,N/A,N/A,20.0,N/A,N/A,0.23,N/A,N/A,76.0,27.0,50.0,1.14,92.0,14.0,0.23,94.57,100.0,0.0,73.0,0.03,21.0,21.0,0.01,0.01,N/A,N/A
Eliaquim Mangala,7842,Center Back,381,33,€450K,Liga Portugal,9.0,1.42,36.0,41.57,N/A,N/A,32.0,6.0,35.29,1.42,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.0,0.71,15.0,0.71,92.0,0.71,80.0,75.0,47.0,5.0,35.56,3.78,N/A,N/A,97.0,2.83,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,80.0,1.65,12.0,30.0,47.0,87.13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.0,2.13,100.0,0.0,N/A,N/A,N/A,N/A,0.0,N/A,N/A,0.0,N/A,N/A,85.0,92.0,85.71,1.42,33.0,23.0,0.47,59.76,3.0,0.94,6.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A
Elves,6004,Right Winger,177,25,€300K,Liga Portugal,13.0,0.51,2.0,13.73,N/A,N/A,27.0,9.0,14.29,0.51,0.0,0.0,100.0,1.53,52.0,1.02,N/A,N/A,41.0,10.0,1.0,2.54,36.0,1.02,86.0,1.53,60.0,60.0,51.0,13.0,40.74,5.59,N/A,N/A,34.0,1.02,37.0,1.02,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,100.0,100.0,43.0,81.82,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,71.0,0.51,73.0,5.08,100.0,0.0,N/A,N/A,N/A,N/A,100.0,97.0,1.02,5.08,68.0,0.51,66.0,49.0,60.0,1.53,15.0,97.0,4.07,46.27,100.0,0.0,23.0,0.03,98.0,98.0,0.28,0.28,79.0,0.11
Enea Mihaj,1634,Center Back,675,26,€1.8M,Liga Portugal,89.0,5.2,61.0,49.73,N/A,N/A,44.0,44.0,59.09,1.73,88.0,0.13,N/A,N/A,68.0,0.27,N/A,N/A,N/A,N/A,100.0,0.0,56.0,0.27,88.0,0.67,85.0,83.33,65.0,83.0,66.67,4.8,N/A,N/A,24.0,0.8,71.0,0.8,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,91.0,2.27,30.0,39.39,15.0,79.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,80.0,0.13,85.0,5.2,100.0,0.0,N/A,N/A,N/A,N/A,32.0,59.0,0.13,0.27,N/A,N/A,61.0,47.0,58.33,0.93,74.0,18.0,0.27,75.47,26.0,0.4,61.0,0.02,24.0,24.0,0.01,0.01,68.0,0.05
Eric Veiga,1889,Left Back,147,27,N/A,Liga Portugal,N/A,N/A,0.0,7.96,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,34.0,0.61,N/A,N/A,47.0,25.0,62.0,0.61,N/A,N/A,45.0,0.61,100.0,100.0,13.0,26.0,45.45,3.06,N/A,N/A,81.0,1.84,89.0,2.45,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0,59.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87.0,0.61,13.0,2.45,100.0,0.0,N/A,N/A,N/A,N/A,60.0,91.0,0.61,0.61,47.0,0.61,N/A,N/A,N/A,N/A,0.0,68.0,1.84,25.1,100.0,0.0,23.0,0.03,49.0,49.0,0.02,0.02,81.0,0.05
Fabiano Silva,8348,Right Back,570,24,€3.4M,Liga Portugal,85.0,2.84,43.0,27.32,N/A,N/A,23.0,19.0,27.27,0.47,0.0,0.0,72.0,0.32,15.0,0.32,N/A,N/A,15.0,7.14,17.0,1.11,77.0,0.32,70.0,1.11,51.0,53.85,51.0,15.0,43.24,5.05,N/A,N/A,91.0,3.16,85.0,2.21,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,64.0,1.26,40.0,39.13,43.0,75.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,74.0,4.89,100.0,0.0,N/A,N/A,N/A,N/A,32.0,N/A,N/A,0.32,17.0,0.16,51.0,83.0,77.78,1.11,45.0,26.0,0.47,63.16,15.0,0.32,30.0,0.04,21.0,21.0,0.01,0.01,N/A,N/A
Fabricio Garcia,7842,Right Winger,397,23,€30K,Liga Portugal,34.0,0.45,24.0,14.28,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,N/A,N/A,22.0,0.45,N/A,N/A,53.0,20.0,23.0,1.81,45.0,0.91,66.0,1.36,78.0,54.55,82.0,66.0,50.0,7.03,N/A,N/A,69.0,1.59,96.0,4.31,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,36.0,0.23,23.0,25.0,35.0,75.9,100.0,0.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.0,0.45,43.0,3.63,100.0,0.0,N/A,N/A,N/A,N/A,32.0,N/A,N/A,1.36,38.0,0.23,72.0,74.0,83.33,1.13,23.0,69.0,4.08,37.63,38.0,0.23,15.0,0.03,28.0,30.0,0.08,0.08,N/A,N/A
Felix Correia,9764,Left Winger,714,23,€1.3M,Liga Portugal,93.0,2.77,58.0,22.69,N/A,N/A,30.0,30.0,14.29,0.13,76.0,0.25,58.0,0.5,65.0,1.64,N/A,N/A,57.0,23.08,65.0,0.88,62.0,0.63,72.0,1.51,58.0,48.0,53.0,84.0,55.84,5.42,N/A,N/A,7.0,0.38,74.0,2.52,78.0,N/A,N/A,0.38,N/A,N/A,N/A,N/A,96.0,1.64,64.0,64.71,32.0,74.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,38.0,0.5,53.0,3.91,100.0,0.0,N/A,N/A,N/A,N/A,41.0,35.0,0.38,1.64,62.0,0.76,46.0,39.0,60.0,0.76,68.0,74.0,4.29,53.57,100.0,0.0,69.0,0.16,68.0,69.0,0.28,0.28,72.0,0.29
Fernando Fonseca,1889,Right Back,385,27,€1.6M,Liga Portugal,77.0,2.57,49.0,29.69,N/A,N/A,11.0,11.0,16.67,0.23,0.0,0.0,N/A,N/A,70.0,1.17,N/A,N/A,66.0,30.77,47.0,0.7,47.0,0.7,72.0,1.17,83.0,83.33,43.0,62.0,55.56,4.68,N/A,N/A,36.0,0.94,74.0,1.64,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,70.0,1.64,51.0,42.31,62.0,80.38,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.0,0.47,60.0,4.21,100.0,0.0,N/A,N/A,N/A,N/A,21.0,N/A,N/A,0.23,72.0,0.94,38.0,36.0,57.14,0.94,53.0,N/A,N/A,64.99,30.0,0.23,64.0,0.09,11.0,11.0,0.0,0.0,N/A,N/A
Filipe Ferreira,8613,Left Back,683,34,€250K,Liga Portugal,30.0,2.5,3.0,25.7,N/A,N/A,21.0,53.0,61.54,1.05,0.0,0.0,65.0,0.13,88.0,0.66,N/A,N/A,85.0,21.43,11.0,0.53,27.0,0.53,85.0,0.53,73.0,66.67,23.0,35.0,54.76,3.03,N/A,N/A,15.0,0.53,32.0,0.4,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,52.0,1.19,18.0,35.19,5.0,74.43,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68.0,3.82,100.0,0.0,N/A,N/A,N/A,N/A,17.0,N/A,N/A,0.13,97.0,0.4,45.0,76.0,75.0,0.79,6.0,N/A,N/A,50.07,33.0,0.26,82.0,0.04,17.0,17.0,0.0,0.0,N/A,N/A
