Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Leonel Picco,10089,Central Midfielder,1103,25,€400K,Liga Profesional,39.0,1.55,20.0,19.75,N/A,N/A,65.0,87.0,66.67,1.47,0.0,0.0,44.0,0.16,N/A,N/A,N/A,N/A,N/A,N/A,65.0,0.73,35.0,1.39,28.0,0.41,61.0,55.56,75.0,81.0,56.95,7.02,N/A,N/A,78.0,2.12,15.0,0.49,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,99.0,3.51,40.0,44.19,28.0,72.89,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,51.0,0.33,86.0,7.18,100.0,0.0,N/A,N/A,N/A,N/A,29.0,53.0,0.24,0.57,N/A,N/A,85.0,27.0,50.88,2.37,17.0,20.0,0.24,45.29,35.0,0.33,32.0,0.03,24.0,24.0,0.01,0.01,39.0,0.01
Lisandro Lopez,202757,Striker,328,41,€150K,Liga Profesional,76.0,1.65,22.0,14.82,N/A,N/A,89.0,56.0,38.1,2.2,0.0,0.0,28.0,0.27,26.0,0.82,N/A,N/A,N/A,N/A,86.0,0.82,27.0,1.1,6.0,0.27,6.0,12.5,20.0,10.0,33.33,4.12,N/A,N/A,31.0,0.82,38.0,1.37,78.0,N/A,N/A,0.27,N/A,N/A,N/A,N/A,62.0,0.55,44.0,50.0,15.0,65.85,N/A,N/A,N/A,N/A,97.0,N/A,N/A,N/A,N/A,0.27,N/A,N/A,48.0,0.55,62.0,4.94,100.0,0.0,N/A,N/A,N/A,N/A,55.0,69.0,0.82,1.92,N/A,N/A,12.0,100.0,100.0,0.27,8.0,59.0,2.74,37.59,25.0,0.27,45.0,0.1,98.0,97.0,0.41,0.62,86.0,0.32
Lucas Abascia,213596,Center Back,476,28,€400K,Liga Profesional,84.0,4.64,81.0,42.9,N/A,N/A,43.0,6.0,42.59,2.54,0.0,0.0,N/A,N/A,63.0,0.22,N/A,N/A,N/A,N/A,43.0,0.11,31.0,0.66,81.0,0.44,100.0,100.0,73.0,25.0,54.64,5.86,N/A,N/A,29.0,0.66,76.0,0.77,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,61.0,1.44,24.0,34.71,37.0,76.23,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85.0,5.09,3.0,0.22,N/A,N/A,N/A,N/A,52.0,75.0,0.22,0.44,N/A,N/A,81.0,72.0,73.68,1.55,84.0,29.0,0.44,69.66,31.0,0.33,44.0,0.01,79.0,79.0,0.05,0.05,76.0,0.04
Lucas Acosta,202757,Keeper,1170,29,€900K,Liga Profesional,85.0,8.0,N/A,N/A,23.0,0.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.0,0.54,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13.0,0.08,N/A,N/A,N/A,N/A,N/A,31.0,1.08,N/A,85.0,0.3,31.0,0.62,N/A,N/A,25.0,35.74,8.0,43.37,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,75.0,77.42,87.0,3.69,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lucas Arce,10227,Right Back,1299,27,€820K,Liga Profesional,77.0,2.56,81.0,32.42,N/A,N/A,23.0,33.0,43.48,0.69,86.0,0.14,40.0,0.07,80.0,1.18,N/A,N/A,77.0,32.76,60.0,0.55,11.0,1.52,39.0,0.62,40.0,50.0,28.0,22.0,47.41,4.43,N/A,N/A,64.0,1.32,45.0,0.69,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,38.0,0.9,56.0,36.63,46.0,71.34,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,64.0,0.28,50.0,4.36,100.0,0.0,N/A,N/A,N/A,N/A,24.0,N/A,N/A,0.35,83.0,1.32,50.0,35.0,60.0,1.45,91.0,42.0,0.9,76.77,17.0,0.42,86.0,0.13,18.0,18.0,0.01,0.01,N/A,N/A
Lucas Besozzi,10201,Left Winger,427,21,€1.5M,Liga Profesional,14.0,0.21,30.0,15.81,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,46.0,0.42,15.0,0.63,N/A,N/A,23.0,8.33,32.0,2.11,20.0,1.26,96.0,3.16,76.0,51.72,46.0,42.0,44.26,5.69,N/A,N/A,3.0,0.21,48.0,1.69,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,51.0,0.42,22.0,33.33,81.0,79.79,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,77.0,0.84,44.0,4.22,100.0,0.0,N/A,N/A,N/A,N/A,20.0,21.0,0.21,1.05,40.0,0.42,8.0,9.0,25.0,0.21,25.0,8.0,0.84,44.68,100.0,0.0,33.0,0.07,13.0,15.0,0.04,0.04,22.0,0.02
Lucas Brochero,213534,Right Winger,447,25,€450K,Liga Profesional,32.0,0.6,24.0,15.1,N/A,N/A,53.0,29.0,25.0,0.81,0.0,0.0,N/A,N/A,50.0,1.41,N/A,N/A,60.0,22.58,58.0,1.41,50.0,0.81,17.0,0.6,19.0,33.33,18.0,21.0,38.46,4.03,N/A,N/A,20.0,0.6,46.0,1.61,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,68.0,0.6,12.0,20.0,24.0,68.18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17.0,0.2,26.0,3.62,100.0,0.0,N/A,N/A,N/A,N/A,27.0,32.0,0.4,1.21,77.0,1.41,48.0,50.0,66.67,0.81,26.0,19.0,1.41,44.7,38.0,0.2,73.0,0.17,20.0,21.0,0.06,0.06,32.0,0.06
Lucas Carrizo,10081,Center Back,1440,27,€1.5M,Liga Profesional,97.0,7.56,69.0,38.56,N/A,N/A,16.0,37.0,56.52,1.62,93.0,0.06,94.0,0.31,92.0,0.44,N/A,N/A,83.0,27.27,21.0,0.31,4.0,1.25,73.0,0.38,55.0,60.0,82.0,62.0,60.87,6.12,N/A,N/A,45.0,0.88,90.0,1.12,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,71.0,1.56,58.0,42.76,22.0,71.41,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,83.0,0.06,55.0,3.94,100.0,0.0,N/A,N/A,N/A,N/A,92.0,71.0,0.19,1.0,89.0,0.19,91.0,40.0,63.27,1.94,87.0,50.0,0.69,72.25,21.0,0.44,82.0,0.04,49.0,49.0,0.02,0.02,61.0,0.02
Lucas Emanuel Gamba,10096,Striker,340,37,€300K,Liga Profesional,88.0,1.06,91.0,18.79,N/A,N/A,16.0,8.0,20.0,1.06,0.0,0.0,N/A,N/A,95.0,2.12,N/A,N/A,76.0,26.32,14.0,2.38,17.0,0.79,N/A,N/A,N/A,N/A,62.0,30.0,37.88,6.62,N/A,N/A,90.0,2.91,91.0,2.65,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,89.0,0.53,100.0,100.0,96.0,78.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,65.0,2.91,100.0,0.0,N/A,N/A,N/A,N/A,4.0,12.0,0.26,1.06,94.0,1.32,93.0,72.0,72.73,2.12,92.0,36.0,3.97,50.29,11.0,0.53,84.0,0.14,6.0,6.0,0.08,0.08,11.0,0.03
Lucas Ferreira,161730,Center Back,757,24,€400K,Liga Profesional,57.0,3.45,61.0,37.33,N/A,N/A,63.0,59.0,63.41,3.09,96.0,0.12,N/A,N/A,86.0,0.36,N/A,N/A,79.0,16.67,10.0,0.48,37.0,0.59,83.0,0.48,37.0,40.0,72.0,29.0,55.06,5.83,N/A,N/A,74.0,1.19,58.0,0.59,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,43.0,1.19,63.0,44.62,68.0,81.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90.0,0.12,63.0,4.04,9.0,0.12,N/A,N/A,N/A,N/A,32.0,N/A,N/A,0.24,84.0,0.12,39.0,14.0,46.67,0.83,70.0,19.0,0.24,62.89,17.0,0.48,51.0,0.01,40.0,40.0,0.02,0.02,N/A,N/A
