Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Adrián Embarba,8370,Left Winger,545,32,€3M,LaLiga,70.0,1.49,36.0,18.99,N/A,N/A,58.0,39.0,33.33,0.66,59.0,0.17,80.0,0.83,41.0,1.16,N/A,N/A,35.0,19.64,45.0,1.49,49.0,0.83,33.0,0.83,14.0,33.33,35.0,23.0,40.58,4.62,N/A,N/A,83.0,1.82,26.0,1.16,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,67.0,0.66,30.0,42.86,17.0,71.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,42.0,0.5,25.0,3.14,100.0,0.0,N/A,N/A,N/A,N/A,54.0,32.0,0.33,1.82,87.0,1.82,49.0,28.0,41.67,0.83,55.0,36.0,2.97,52.18,22.0,0.33,46.0,0.12,13.0,14.0,0.06,0.06,35.0,0.04
Aimar Oroz,8371,Central Midfielder,703,22,€18M,LaLiga,34.0,1.41,29.0,25.73,N/A,N/A,13.0,13.0,7.69,0.13,0.0,0.0,76.0,0.51,61.0,1.02,N/A,N/A,50.0,25.0,19.0,1.54,55.0,0.9,47.0,0.64,33.0,41.67,32.0,29.0,43.24,4.1,N/A,N/A,8.0,0.51,69.0,1.66,74.0,N/A,N/A,0.13,N/A,N/A,N/A,N/A,50.0,0.77,79.0,68.75,61.0,85.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86.0,0.9,66.0,5.12,100.0,0.0,N/A,N/A,N/A,N/A,68.0,80.0,0.51,1.41,38.0,0.13,39.0,50.0,61.54,1.02,15.0,50.0,1.15,43.78,100.0,0.0,33.0,0.05,74.0,76.0,0.14,0.14,61.0,0.06
Aitor Paredes,8315,Center Back,440,24,€25M,LaLiga,35.0,2.45,15.0,30.27,N/A,N/A,22.0,72.0,70.0,1.43,0.0,0.0,N/A,N/A,65.0,0.2,N/A,N/A,N/A,N/A,100.0,0.0,21.0,0.61,N/A,N/A,N/A,N/A,7.0,14.0,47.83,2.25,N/A,N/A,71.0,1.23,44.0,0.41,97.0,N/A,N/A,0.2,N/A,N/A,N/A,N/A,38.0,0.82,26.0,35.29,21.0,80.43,N/A,N/A,1.0,0.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,47.0,3.07,4.0,0.2,N/A,N/A,N/A,N/A,24.0,78.0,0.2,0.2,N/A,N/A,15.0,42.0,66.67,0.41,12.0,14.0,0.2,49.5,43.0,0.2,14.0,0.0,97.0,97.0,0.18,0.18,93.0,0.2
Aitor Ruibal,8603,Right Back,343,28,€4M,LaLiga,85.0,1.31,89.0,24.93,N/A,N/A,4.0,4.0,20.0,0.26,0.0,0.0,47.0,0.52,85.0,1.57,N/A,N/A,77.0,28.57,11.0,2.1,15.0,1.05,75.0,1.05,83.0,66.67,26.0,42.0,41.18,3.67,N/A,N/A,11.0,0.52,68.0,1.57,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,96.0,0.79,32.0,50.0,87.0,83.33,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,30.0,0.26,81.0,3.94,100.0,0.0,N/A,N/A,N/A,N/A,19.0,34.0,0.52,1.57,87.0,0.52,64.0,64.0,66.67,0.52,85.0,60.0,4.72,47.76,28.0,0.26,66.0,0.07,13.0,13.0,0.13,0.13,23.0,0.06
Alberto Moleiro,8306,Left Midfielder,686,21,€18M,LaLiga,33.0,0.52,70.0,31.88,N/A,N/A,N/A,N/A,N/A,N/A,0.0,0.0,77.0,0.79,70.0,1.84,N/A,N/A,71.0,33.33,42.0,1.57,38.0,0.92,86.0,2.62,45.0,50.0,41.0,36.0,44.19,4.99,N/A,N/A,14.0,0.66,43.0,1.44,77.0,N/A,N/A,0.39,N/A,N/A,N/A,N/A,39.0,0.26,39.0,57.14,78.0,85.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.0,0.26,36.0,3.54,100.0,0.0,N/A,N/A,N/A,N/A,83.0,88.0,1.44,3.02,26.0,0.26,20.0,29.0,42.86,0.39,61.0,57.0,3.8,56.15,55.0,0.13,74.0,0.21,72.0,80.0,0.26,0.26,81.0,0.35
Alejandro Catena,8371,Center Back,720,29,€5M,LaLiga,72.0,3.63,8.0,28.0,N/A,N/A,68.0,85.0,73.08,2.38,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,12.0,0.75,62.0,0.12,100.0,100.0,51.0,56.0,60.38,4.0,N/A,N/A,53.0,1.0,31.0,0.25,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,32.0,0.75,39.0,41.43,12.0,78.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.0,2.62,100.0,0.0,N/A,N/A,N/A,N/A,62.0,60.0,0.12,0.5,N/A,N/A,21.0,12.0,40.0,0.5,7.0,50.0,0.75,48.25,57.0,0.12,24.0,0.0,65.0,65.0,0.05,0.05,60.0,0.01
Alejandro Francés,7732,Center Back,445,22,€4M,LaLiga,100.0,3.44,88.0,51.78,N/A,N/A,6.0,12.0,25.0,0.2,0.0,0.0,97.0,0.81,9.0,0.2,N/A,N/A,N/A,N/A,100.0,0.0,32.0,1.01,39.0,0.4,30.0,40.0,57.0,35.0,50.0,4.45,N/A,N/A,93.0,2.22,77.0,1.42,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,93.0,1.62,61.0,44.74,83.0,87.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,61.0,0.2,36.0,3.44,100.0,0.0,N/A,N/A,N/A,N/A,86.0,N/A,N/A,1.01,N/A,N/A,52.0,38.0,58.33,1.42,93.0,52.0,1.01,85.55,43.0,0.2,9.0,0.02,72.0,72.0,0.04,0.04,N/A,N/A
Alejo Veliz,8558,Striker,574,21,€9M,LaLiga,38.0,0.31,30.0,10.19,N/A,N/A,79.0,75.0,51.06,3.76,0.0,0.0,N/A,N/A,17.0,0.31,N/A,N/A,N/A,N/A,87.0,0.47,38.0,0.47,21.0,0.16,32.0,25.0,74.0,87.0,53.09,6.74,N/A,N/A,40.0,1.1,87.0,2.67,42.0,N/A,N/A,0.16,N/A,N/A,N/A,N/A,49.0,0.16,53.0,66.67,38.0,70.65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.0,0.16,15.0,1.41,100.0,0.0,N/A,N/A,N/A,N/A,28.0,40.0,0.63,1.72,N/A,N/A,36.0,100.0,100.0,0.16,19.0,4.0,2.35,28.07,23.0,0.31,4.0,0.01,47.0,53.0,0.23,0.23,62.0,0.29
Aleksandar Sedlar,9866,Center Back,410,32,€450K,LaLiga,29.0,2.2,7.0,25.68,N/A,N/A,31.0,72.0,70.0,1.54,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0,0.0,38.0,0.44,N/A,N/A,N/A,N/A,92.0,74.0,66.67,5.71,N/A,N/A,85.0,1.54,81.0,0.88,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,82.0,1.54,53.0,45.45,18.0,80.14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.0,2.63,1.0,0.22,N/A,N/A,N/A,N/A,25.0,N/A,N/A,0.22,N/A,N/A,96.0,35.0,60.0,1.98,4.0,22.0,0.44,41.49,39.0,0.22,15.0,0.0,14.0,14.0,0.01,0.01,N/A,N/A
Alex Berenguer,8315,Left Winger,508,29,€20M,LaLiga,57.0,1.24,33.0,18.78,N/A,N/A,74.0,55.0,37.5,1.06,77.0,0.35,48.0,0.35,36.0,1.06,N/A,N/A,25.0,13.51,52.0,1.24,62.0,0.53,48.0,1.24,30.0,41.18,32.0,26.0,41.94,4.61,N/A,N/A,52.0,1.24,33.0,1.24,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,71.0,0.71,52.0,63.64,33.0,76.26,97.0,0.35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,59.0,0.71,45.0,3.72,100.0,0.0,N/A,N/A,N/A,N/A,61.0,55.0,0.71,1.95,64.0,0.89,19.0,14.0,33.33,0.35,42.0,54.0,3.72,47.3,20.0,0.35,75.0,0.23,75.0,52.0,0.16,0.3,71.0,0.26
