Player Name,Team ID,Primary Position,Minutes Played,Age,Market Value,League,Accurate long balls,Accurate long balls per90,Accurate passes,Accurate passes per90,Acted as sweeper,Acted as sweeper per90,Aerials won,Aerials won %,Aerials won % per90,Aerials won per90,Assists,Assists per90,Blocked scoring attempt,Blocked scoring attempt per90,Chances created,Chances created per90,Clean sheets,Clean sheets per90,Cross accuracy,Cross accuracy per90,Dispossessed,Dispossessed per90,Dribbled past,Dribbled past per90,Dribbles,Dribbles per90,Dribbles success rate,Dribbles success rate per90,Duels won,Duels won %,Duels won % per90,Duels won per90,Error led to goal,Error led to goal per90,Fouls committed,Fouls committed per90,Fouls won,Fouls won per90,Goals,Goals conceded,Goals conceded per90,Goals per90,Goals prevented,Goals prevented per90,High claims,High claims per90,Interceptions,Interceptions per90,Long ball accuracy,Long ball accuracy per90,Pass accuracy,Pass accuracy per90,Penalties awarded,Penalties awarded per90,Penalties conceded,Penalties conceded per90,Penalty goals,Penalty goals conceded,Penalty goals conceded per90,Penalty goals faced,Penalty goals faced per90,Penalty goals per90,Penalty goals saves,Penalty goals saves per90,Possession won final 3rd,Possession won final 3rd per90,Recoveries,Recoveries per90,Red cards,Red cards per90,Save percentage,Save percentage per90,Saves,Saves per90,Shots,Shots on target,Shots on target per90,Shots per90,Successful crosses,Successful crosses per90,Tackles won,Tackles won %,Tackles won % per90,Tackles won per90,Touches,Touches in opposition box,Touches in opposition box per90,Touches per90,Yellow cards,Yellow cards per90,xA,xA per90,xG,xG excl. penalty,xG excl. penalty per90,xG per90,xGOT,xGOT per90
Sergio Pena,10237,Central Midfielder,1390,29,€2.5M,Allsvenskan,98.0,6.47,98.0,80.22,N/A,N/A,64.0,87.0,55.56,0.97,61.0,0.13,89.0,0.84,38.0,1.04,N/A,N/A,54.0,22.86,20.0,1.36,20.0,1.42,53.0,0.84,58.0,54.17,86.0,83.0,55.21,6.86,N/A,N/A,55.0,1.36,70.0,1.55,48.0,N/A,N/A,0.06,N/A,N/A,N/A,N/A,72.0,1.29,91.0,66.67,82.0,87.75,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98.0,1.23,92.0,6.67,100.0,0.0,N/A,N/A,N/A,N/A,86.0,64.0,0.45,2.27,54.0,0.52,98.0,82.0,70.91,2.53,100.0,35.0,1.17,110.98,26.0,0.26,87.0,0.21,46.0,48.0,0.08,0.08,42.0,0.04
Shaquille Pinas,8248,Left Back,2137,26,€800K,Allsvenskan,81.0,2.48,81.0,46.87,N/A,N/A,44.0,76.0,59.38,0.8,46.0,0.04,89.0,0.42,46.0,0.84,N/A,N/A,54.0,23.26,59.0,0.59,33.0,1.05,35.0,0.42,44.0,50.0,30.0,52.0,52.57,3.87,N/A,N/A,35.0,0.88,19.0,0.63,93.0,N/A,N/A,0.17,N/A,N/A,N/A,N/A,63.0,1.35,33.0,35.33,37.0,79.44,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,50.0,0.25,81.0,5.1,100.0,0.0,N/A,N/A,N/A,N/A,87.0,70.0,0.25,1.14,35.0,0.42,69.0,67.0,68.75,1.39,81.0,50.0,1.47,83.18,11.0,0.25,22.0,0.06,81.0,83.0,0.09,0.09,76.0,0.06
Simon Gustafson,8428,Central Midfielder,2250,29,€1.9M,Allsvenskan,92.0,4.2,95.0,66.28,N/A,N/A,72.0,85.0,55.1,1.08,77.0,0.16,17.0,0.16,84.0,1.92,N/A,N/A,23.0,16.28,59.0,0.84,34.0,1.16,49.0,0.76,87.0,65.52,79.0,98.0,62.16,6.44,N/A,N/A,16.0,0.72,85.0,2.08,84.0,N/A,N/A,0.24,N/A,N/A,N/A,N/A,91.0,1.88,83.0,61.4,86.0,88.33,N/A,N/A,N/A,N/A,100.0,N/A,N/A,N/A,N/A,0.08,N/A,N/A,59.0,0.6,84.0,6.04,100.0,0.0,N/A,N/A,N/A,N/A,28.0,54.0,0.36,0.92,39.0,0.28,66.0,48.0,60.32,1.52,95.0,61.0,2.52,92.64,29.0,0.24,73.0,0.17,63.0,43.0,0.07,0.14,84.0,0.21
Simon Hedlund,8014,Right Midfielder,1652,31,€1.1M,Allsvenskan,73.0,0.98,25.0,16.78,N/A,N/A,20.0,25.0,26.09,0.33,73.0,0.22,27.0,0.49,38.0,1.14,N/A,N/A,53.0,20.0,97.0,0.44,17.0,1.09,17.0,0.65,28.0,40.0,3.0,9.0,36.3,2.89,N/A,N/A,62.0,1.63,14.0,0.71,72.0,N/A,N/A,0.33,N/A,N/A,N/A,N/A,41.0,0.44,53.0,50.0,25.0,75.31,N/A,N/A,0.0,0.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11.0,0.33,28.0,3.05,100.0,0.0,N/A,N/A,N/A,N/A,19.0,42.0,0.71,1.36,58.0,0.49,19.0,28.0,54.55,0.65,17.0,30.0,3.32,38.57,62.0,0.05,64.0,0.16,42.0,44.0,0.17,0.17,55.0,0.2
Simon Johansson,6194,Right Winger,1223,31,€500K,Allsvenskan,86.0,1.25,70.0,27.52,N/A,N/A,31.0,30.0,28.57,0.44,48.0,0.15,52.0,0.66,78.0,1.91,N/A,N/A,70.0,23.08,28.0,1.77,41.0,0.88,23.0,0.74,14.0,33.33,31.0,19.0,39.16,4.12,N/A,N/A,42.0,1.18,45.0,1.18,30.0,N/A,N/A,0.07,N/A,N/A,N/A,N/A,30.0,0.29,47.0,45.95,38.0,76.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,81.0,1.1,64.0,4.05,100.0,0.0,N/A,N/A,N/A,N/A,47.0,48.0,0.74,1.99,84.0,1.1,81.0,77.0,68.0,1.25,75.0,72.0,5.0,57.47,100.0,0.0,91.0,0.26,58.0,59.0,0.21,0.21,59.0,0.24
Simon Skrabb,9892,Central Midfielder,2067,29,€1.3M,Allsvenskan,39.0,1.7,53.0,38.53,N/A,N/A,68.0,58.0,44.44,1.04,85.0,0.22,32.0,0.3,51.0,1.31,N/A,N/A,67.0,27.54,41.0,1.04,60.0,0.83,36.0,0.57,51.0,52.0,55.0,42.0,49.18,5.22,N/A,N/A,77.0,1.92,39.0,1.04,87.0,N/A,N/A,0.26,N/A,N/A,N/A,N/A,16.0,0.48,12.0,34.51,35.0,80.53,93.0,0.04,N/A,N/A,97.0,N/A,N/A,N/A,N/A,0.04,N/A,N/A,15.0,0.3,42.0,4.4,100.0,0.0,N/A,N/A,N/A,N/A,57.0,70.0,0.48,1.35,73.0,0.83,67.0,42.0,59.32,1.52,50.0,60.0,2.39,65.4,36.0,0.22,62.0,0.14,80.0,66.0,0.14,0.17,83.0,0.2
Simon Thern,6181,Central Midfielder,1373,32,€660K,Allsvenskan,57.0,2.03,36.0,32.32,N/A,N/A,51.0,54.0,42.86,0.79,43.0,0.07,49.0,0.39,79.0,1.84,N/A,N/A,68.0,28.09,71.0,0.72,88.0,0.52,45.0,0.66,18.0,35.71,11.0,46.0,49.53,3.47,N/A,N/A,1.0,0.07,60.0,1.38,66.0,N/A,N/A,0.13,N/A,N/A,N/A,N/A,28.0,0.72,26.0,41.33,22.0,77.39,98.0,0.07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.0,0.52,2.0,2.88,100.0,0.0,N/A,N/A,N/A,N/A,41.0,49.0,0.33,1.05,90.0,1.64,2.0,95.0,80.0,0.52,36.0,46.0,1.57,59.78,82.0,0.07,66.0,0.14,59.0,62.0,0.12,0.12,74.0,0.14
Sotirios Papagiannopoulos,8349,Center Back,2079,34,€500K,Allsvenskan,70.0,3.81,23.0,43.72,N/A,N/A,38.0,66.0,64.86,2.08,0.0,0.0,75.0,0.17,49.0,0.22,N/A,N/A,N/A,N/A,15.0,0.39,74.0,0.26,N/A,N/A,N/A,N/A,36.0,59.0,60.26,4.07,N/A,N/A,53.0,0.87,81.0,1.04,0.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,60.0,1.43,62.0,49.44,49.0,86.92,N/A,N/A,16.0,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,40.0,0.04,58.0,3.81,100.0,0.0,N/A,N/A,N/A,N/A,41.0,N/A,N/A,0.43,N/A,N/A,34.0,45.0,65.22,0.65,16.0,41.0,0.78,62.81,73.0,0.04,62.0,0.03,42.0,44.0,0.04,0.04,N/A,N/A
Srdjan Hrstic,8428,Striker,680,21,€1.2M,Allsvenskan,80.0,0.93,53.0,12.04,N/A,N/A,69.0,96.0,59.38,2.51,0.0,0.0,24.0,0.4,49.0,0.93,N/A,N/A,100.0,100.0,42.0,1.59,71.0,0.26,13.0,0.26,13.0,28.57,20.0,53.0,40.79,4.1,N/A,N/A,51.0,1.72,11.0,0.53,87.0,N/A,N/A,0.53,N/A,N/A,N/A,N/A,71.0,0.4,78.0,77.78,51.0,73.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.0,0.4,13.0,1.59,0.0,0.0,N/A,N/A,N/A,N/A,31.0,24.0,0.66,1.99,53.0,0.13,67.0,100.0,100.0,0.79,31.0,47.0,4.5,29.65,24.0,0.26,60.0,0.11,60.0,62.0,0.36,0.36,56.0,0.3
Søren Rieks,10237,Left Winger,607,37,€600K,Allsvenskan,49.0,0.44,93.0,30.4,N/A,N/A,24.0,67.0,50.0,0.74,71.0,0.15,42.0,0.59,73.0,1.19,N/A,N/A,82.0,38.46,33.0,1.78,38.0,0.59,60.0,1.04,84.0,63.64,38.0,71.0,46.27,4.6,N/A,N/A,47.0,1.63,71.0,1.78,67.0,N/A,N/A,0.44,N/A,N/A,N/A,N/A,58.0,0.3,24.0,42.86,93.0,83.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.0,0.44,47.0,2.67,0.0,0.0,N/A,N/A,N/A,N/A,40.0,58.0,0.89,2.22,87.0,0.74,64.0,49.0,62.5,0.74,87.0,60.0,5.19,54.86,4.0,0.59,96.0,0.21,29.0,33.0,0.24,0.24,36.0,0.22
